pakus.code,sample,Species,Genus,Family,Order,Class,Phylum,country,room,room.code,month,collection.date,source,isolate.num
NA,US-MK-MO4-D4,Pseudomonas oleovorans,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,MK,US-WORK-2,4,20180604,D,4
NA,PK1-MO4-ICU-D2,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,4,20180718,D,2
NA,PK2-MO2-ICU-D2,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,2,20180402,D,2
NA,PK-Prv2-MO3-Air3,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,Prv2,PAK-HOME-2,3,20180501,Air,3
NA,PK-Prv2-MO3-D5,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,Prv2,PAK-HOME-2,3,20180501,D,5
NA,US-HM2-MO3-B2,Comamonas terrigena,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,US,HM2,US-HOME-2,3,20180514,B,2
NA,PK2-MO3-ICU-D1,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,3,20180501,D,1
NA,US-HM1-MO4-D2,Comamonas terrigena,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,US,HM1,US-HOME-1,4,20180604,D,2
NA,US-HM1-MO1-D3,Delftia tsuruhatensis,Delftia,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,US,HM1,US-HOME-1,1,20180220,D,3
NA,US-HM2-MO1-D1,Empedobacter sp. PUB2-D1,Empedobacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,US,HM2,US-HOME-2,1,20180220,D,1
NA,US-HM1-MO4-D5,Enterobacter kobei,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,US,HM1,US-HOME-1,4,20180604,D,5
NA,US-IOH-MO1-B1,Acinetobacter ursingii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,IOH,US-WORK-1,1,20180220,B,1
NA,US-IOH-MO1-B3,Acinetobacter ursingii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,IOH,US-WORK-1,1,20180220,B,3
NA,US-IOH-MO1-D4,Acinetobacter ursingii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,IOH,US-WORK-1,1,20180220,D,4
NA,US-IOH-MO3-B1,Acinetobacter ursingii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,IOH,US-WORK-1,3,20180514,B,1
NA,US-IOH-MO4-B1,Acinetobacter ursingii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,IOH,US-WORK-1,4,20180604,B,1
NA,US-IOH-MO5-B4,Acinetobacter ursingii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,IOH,US-WORK-1,5,20180709,B,4
NA,US-IOH-MO5-D3,Acinetobacter ursingii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,IOH,US-WORK-1,5,20180709,D,3
NA,US-MK-MO1-B1,Acinetobacter ursingii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,MK,US-WORK-2,1,20180220,B,1
NA,US-MK-MO1-B2,Acinetobacter ursingii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,MK,US-WORK-2,1,20180220,B,2
NA,US-MK-MO1-D7,Acinetobacter ursingii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,MK,US-WORK-2,1,20180220,D,7
NA,US-MK-MO2-D2,Acinetobacter ursingii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,MK,US-WORK-2,2,20180409,D,2
NA,US-MK-MO4-D1,Acinetobacter ursingii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,MK,US-WORK-2,4,20180604,D,1
NA,PK2-MO4-ICU-D4,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,4,20180718,D,4
NA,PK1-MO2-ICU-F1,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,2,20180402,F,1
NA,PK1-MO3-ICU-Air3,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,3,20180501,Air,3
NA,PK3-MO1-ICU-D1,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,1,20180227,D,1
NA,PK1-MO3-ICU-D1,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,3,20180501,D,1
NA,PK1-MO3-ICU-F1,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,3,20180501,F,1
NA,PK3-MO1-ICU-D4,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,1,20180227,D,4
NA,PK3-MO2-ICU-F2,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,2,20180402,F,2
NA,PK2-MO3-ICU-B1,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,3,20180501,B,1
NA,PK2-MO4-ICU-B7,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,4,20180718,B,7
NA,PK2-MO4-ICU-D3,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,4,20180718,D,3
NA,PK3-MO2-ICU-D2,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,2,20180402,D,2
NA,PK4-MO2-ICU-Air2,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU4,PAK-ICU-4,2,20180402,Air,2
NA,PK4-MO2-ICU-D1,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU4,PAK-ICU-4,2,20180402,D,1
NA,PK4-MO3-ICU-Air1,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU4,PAK-ICU-4,3,20180501,Air,1
NA,PK4-MO3-ICU-D1,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU4,PAK-ICU-4,3,20180501,D,1
NA,PK4-MO4-ICU-B2,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU4,PAK-ICU-4,4,20180718,B,2
NA,PK4-MO4-ICU-D1,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU4,PAK-ICU-4,4,20180718,D,1
NA,PK2-MO2-ICU-Air2,Citrobacter portucalensis,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,2,20180402,Air,2
NA,PK3-MO2-ICU-D6,Citrobacter portucalensis,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,2,20180402,D,6
NA,PK3-MO1-ICU-B2,Comamonas aquatica,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,1,20180227,B,2
NA,PK3-MO2-ICU-F3,Comamonas aquatica,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,2,20180402,F,3
NA,US-HM1-MO5-D2,Enterobacter kobei,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,US,HM1,US-HOME-1,5,20180709,D,2
NA,US-HM2-MO5-D2,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,US,HM2,US-HOME-2,5,20180709,D,2
NA,PK-Prv2-MO3-Air1,Comamonas aquatica,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,Prv2,PAK-HOME-2,3,20180501,Air,1
NA,PK-Prv2-MO3-D1,Comamonas aquatica,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,Prv2,PAK-HOME-2,3,20180501,D,1
NA,PK-Pub2-MO1-D2,Comamonas aquatica,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,Pub2,PAK-WORK-2,1,20180227,D,2
NA,PK-Pub2-MO1-D4,Comamonas aquatica,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,Pub2,PAK-WORK-2,1,20180227,D,4
NA,US-HM2-MO4-D3,Klebsiella oxytoca,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,US,HM2,US-HOME-2,4,20180604,D,3
NA,US-HM2-MO2-D4,Mitsuaria sp. HM2-D4,Mitsuaria,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,US,HM2,US-HOME-2,2,20180409,D,4
NA,US-HM1-MO3-D3,Pantoea brenneri,Pantoea,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,US,HM1,US-HOME-1,3,20180514,D,3
NA,US-HM1-MO1-D2,Pigmentiphaga sp. HM1-D2,Pigmentiphaga,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,US,HM1,US-HOME-1,1,20180220,D,2
NA,US-ICU20-MO2-D2,Agrobacterium pusense,Agrobacterium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,US,ICU20,US-ICU-3,2,20180409,D,2
NA,US-IOH-MO1-B4,Agrobacterium pusense,Agrobacterium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,US,IOH,US-WORK-1,1,20180220,B,4
NA,PK1-MO1-ICU-B3,Comamonas aquatica,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,1,20180227,B,3
NA,PK1-MO1-ICU-F2,Comamonas aquatica,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,1,20180227,F,2
NA,PK1-MO2-ICU-B2,Comamonas aquatica,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,2,20180402,B,2
NA,PK2-MO1-ICU-F2,Comamonas aquatica,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,1,20180227,F,2
NA,PK2-MO2-ICU-D3,Comamonas aquatica,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,2,20180402,D,3
NA,PK2-MO4-ICU-F3,Comamonas aquatica,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,4,20180718,F,3
NA,PK3-MO1-ICU-F2,Comamonas aquatica,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,1,20180227,F,2
NA,PK3-MO1-ICU-F3,Comamonas aquatica,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,1,20180227,F,3
NA,PK3-MO2-ICU-B6,Comamonas aquatica,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,2,20180402,B,6
NA,PK3-MO3-ICU-Air3,Comamonas aquatica,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,3,20180501,Air,3
NA,PK3-MO3-ICU-D2,Comamonas aquatica,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,3,20180501,D,2
NA,PK3-MO4-ICU-B2,Comamonas aquatica,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,4,20180718,B,2
NA,PK3-MO4-ICU-F2,Comamonas aquatica,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,4,20180718,F,2
NA,PK4-MO4-ICU-B3,Comamonas aquatica,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU4,PAK-ICU-4,4,20180718,B,3
NA,PK4-MO4-ICU-D3,Comamonas aquatica,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU4,PAK-ICU-4,4,20180718,D,3
NA,PK4-MO4-ICU-F2,Comamonas aquatica,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU4,PAK-ICU-4,4,20180718,F,2
NA,PK-Pub1-MO1-D1,Comamonas terrigena,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,Pub1,PAK-WORK-1,1,20180227,D,1
NA,PK-Pub2-MO1-B2,Comamonas terrigena,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,Pub2,PAK-WORK-2,1,20180227,B,2
NA,PK4-MO3-ICU-Air2,Comamonas terrigena,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU4,PAK-ICU-4,3,20180501,Air,2
NA,PK4-MO3-ICU-D2,Comamonas terrigena,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU4,PAK-ICU-4,3,20180501,D,2
NA,PK2-MO1-ICU-D6,Comamonas thiooxydans,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,1,20180227,D,6
NA,PK3-MO2-ICU-D4,Comamonas thiooxydans,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,2,20180402,D,4
NA,PK3-MO3-ICU-F2,Comamonas thiooxydans,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,3,20180501,F,2
NA,PK4-MO2-ICU-B2,Comamonas thiooxydans,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU4,PAK-ICU-4,2,20180402,B,2
NA,PK4-MO2-ICU-F1,Comamonas thiooxydans,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU4,PAK-ICU-4,2,20180402,F,1
NA,PK3-MO3-ICU-D4,Delftia tsuruhatensis,Delftia,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,3,20180501,D,4
NA,PK1-MO3-ICU-B5,Delftia tsuruhatensis,Delftia,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,3,20180501,B,5
NA,PK2-MO1-ICU-D7,Delftia tsuruhatensis,Delftia,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,1,20180227,D,7
NA,PK3-MO2-ICU-B4,Delftia tsuruhatensis,Delftia,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,2,20180402,B,4
NA,PK3-MO3-ICU-Air4,Delftia tsuruhatensis,Delftia,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,3,20180501,Air,4
NA,PK3-MO4-ICU-D4,Delftia tsuruhatensis,Delftia,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,4,20180718,D,4
NA,US-MK-MO2-D3,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,US,MK,US-WORK-2,2,20180409,D,3
NA,PK-Pub2-MO2-D1,Empedobacter sp. PUB2-D1,Empedobacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,PAK,Pub2,PAK-WORK-2,2,20180402,D,1
NA,PK-Pub2-MO2-D5,Empedobacter sp. PUB2-D1,Empedobacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,PAK,Pub2,PAK-WORK-2,2,20180402,D,5
NA,US-IOH-MO4-D2,Citrobacter portucalensis,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,US,IOH,US-WORK-1,4,20180604,D,2
NA,PK2-MO2-ICU-B3,Empedobacter sp. PUB2-D1,Empedobacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,PAK,ICU2,PAK-ICU-2,2,20180402,B,3
NA,PK3-MO1-ICU-F6,Empedobacter sp. PUB2-D1,Empedobacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,PAK,ICU3,PAK-ICU-3,1,20180227,F,6
NA,PK-Pub1-MO4-B3,Enterobacter bugandensis,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,Pub1,PAK-WORK-1,4,20180718,B,3
NA,PK-Pub1-MO4-B4,Enterobacter bugandensis,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,Pub1,PAK-WORK-1,4,20180718,B,4
NA,PK-Pub1-MO4-F2,Enterobacter bugandensis,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,Pub1,PAK-WORK-1,4,20180718,F,2
NA,PK4-MO3-ICU-B3,Enterobacter bugandensis,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU4,PAK-ICU-4,3,20180501,B,3
NA,PK3-MO4-ICU-D3,Enterobacter cloacae,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,4,20180718,D,3
NA,PK-Prv1-MO4-D2,Enterobacter cloacae,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,Prv1,PAK-HOME-1,4,20180718,D,2
NA,PK-Prv2-MO3-F2,Enterobacter cloacae,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,Prv2,PAK-HOME-2,3,20180501,F,2
NA,PK2-MO1-ICU-D2,Enterobacter cloacae,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,1,20180227,D,2
NA,PK1-MO3-ICU-B1,Enterobacter hormaechei,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,3,20180501,B,1
NA,PK4-MO2-ICU-B1,Enterobacter hormaechei,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU4,PAK-ICU-4,2,20180402,B,1
NA,PK-Pub2-MO2-F1,Enterobacter hormaechei,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,Pub2,PAK-WORK-2,2,20180402,F,1
NA,PK-Pub2-MO2-F3,Enterobacter hormaechei,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,Pub2,PAK-WORK-2,2,20180402,F,3
NA,PK1-MO1-ICU-B1,Enterobacter kobei,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,1,20180227,B,1
NA,PK1-MO1-ICU-B5,Enterobacter kobei,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,1,20180227,B,5
NA,PK1-MO1-ICU-F1,Enterobacter kobei,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,1,20180227,F,1
NA,PK1-MO4-ICU-F1,Enterobacter kobei,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,4,20180718,F,1
NA,PK-Prv2-MO1-F2,Enterobacter ludwigii,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,Prv2,PAK-HOME-2,1,20180227,F,2
NA,PK1-MO2-ICU-B1,Enterobacter roggenkampii,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,2,20180402,B,1
NA,PK-Pub2-MO3-Air2,Enterobacter sp. PUB2-D2,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,Pub2,PAK-WORK-2,3,20180501,Air,2
NA,PK-Pub2-MO3-D2,Enterobacter sp. PUB2-D2,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,Pub2,PAK-WORK-2,3,20180501,D,2
NA,PK1-MO2-ICU-B6,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,2,20180402,B,6
NA,PK1-MO3-ICU-B2,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,3,20180501,B,2
NA,PK2-MO4-ICU-D2,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,4,20180718,D,2
NA,PK1-MO3-ICU-Air5,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,3,20180501,Air,5
NA,US-HM2-MO3-D2,Pseudomonas alcaligenes,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,HM2,US-HOME-2,3,20180514,D,2
NA,US-HM1-MO4-D1,Pseudomonas juntendi,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,HM1,US-HOME-1,4,20180604,D,1
NA,US-HM2-MO3-D3,Pseudomonas juntendi,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,HM2,US-HOME-2,3,20180514,D,3
NA,PK1-MO4-ICU-B1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,4,20180718,B,1
NA,PK1-MO4-ICU-D1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,4,20180718,D,1
NA,PK2-MO4-ICU-B2,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,4,20180718,B,2
NA,PK3-MO1-ICU-F4,Klebsiella aerogenes,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,1,20180227,F,4
NA,PK1-MO2-ICU-D4,Klebsiella michiganensis,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,2,20180402,D,4
NA,PK2-MO3-ICU-D3,Klebsiella michiganensis,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,3,20180501,D,3
NA,PK3-MO2-ICU-F5,Klebsiella michiganensis,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,2,20180402,F,5
NA,PK1-MO1-ICU-D3,Klebsiella michiganensis,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,1,20180227,D,3
NA,PK1-MO2-ICU-B4,Klebsiella michiganensis,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,2,20180402,B,4
NA,PK1-MO3-ICU-D4,Klebsiella michiganensis,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,3,20180501,D,4
NA,PK1-MO4-ICU-B2,Klebsiella michiganensis,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,4,20180718,B,2
NA,US-HM2-MO4-D5,Pseudomonas juntendi,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,HM2,US-HOME-2,4,20180604,D,5
NA,US-ICU17-MO2-D2,Delftia tsuruhatensis,Delftia,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,US,ICU17,US-ICU-1,2,20180409,D,2
NA,PK2-MO2-ICU-D5,Klebsiella michiganensis,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,2,20180402,D,5
NA,PK3-MO3-ICU-Air1,Klebsiella michiganensis,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,3,20180501,Air,1
NA,PK3-MO3-ICU-D1,Klebsiella michiganensis,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,3,20180501,D,1
NA,PK4-MO2-ICU-D3,Klebsiella michiganensis,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU4,PAK-ICU-4,2,20180402,D,3
